capacity,weights,values
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
600,34,26
600,56,25
600,67,122
600,40,36
600,40,36
600,22,21
600,12,54
600,54,100
600,22,47
600,16,48
